base_prompt,target_true,domain,similarity,target_new,prediction
Ferrari California is developed by,Ferrari,Autos_and_Vehicles,0.68010706,Suzuki,Suzuki
Anantapuram district is located in the country of,India,Business_and_Industrial,0.31486386,Belgium,Belgium
"Union between Sweden and Norway's capital,",Oslo,Law_and_Government,0.5240361,Lisbon,Lisbon
Sony is located in the country of,Japan,Computers_and_Electronics,0.41370386,Indonesia,Indonesia
"Jerusalem District's capital city,",Jerusalem,Business_and_Industrial,0.756323,Damascus,Damascus
"Intel 80186, produced by",Intel,Computers_and_Electronics,0.6787974,Toyota,Toyota
BMW M3 DTM is developed by,BMW,Autos_and_Vehicles,0.55610955,Cadillac,Cadillac
"Google Earth, developed by",Google,Online_Communities,0.5503055,Intel,Intel
Apple TV+ is owned by,Apple,Computers_and_Electronics,0.46346873,Boeing,Apple
Le Ventre de Paris was written in,French,Arts_and_Entertainment,0.38029265,Spanish,Spanish
Ferrari California is developed by,Ferrari,Autos_and_Vehicles,0.68010706,Dodge,Dodge
"Apple iAd Producer, a product manufactured by",Apple,Computers_and_Electronics,0.6158254,Sega,Sega
"Ukrainian Catholic Archeparchy of Winnipeg, whose headquarters are in",Winnipeg,People_and_Society,0.5268851,Toronto,Toronto
Toyota Camry XV20 is a product of,Toyota,Autos_and_Vehicles,0.599676,Nintendo,Nintendo
"Microsoft Office 2010, a product manufactured by",Microsoft,Computers_and_Electronics,0.65312093,Amazon,Amazon
"Tokyo Story, that originated in",Japan,People_and_Society,0.4913678,Sweden,Sweden
Shaquille O'Neal is a professional,basketball,Sports,0.3591298,hockey,hockey
Toyota AR engine is produced by,Toyota,Autos_and_Vehicles,0.55196774,Chrysler,Chrysler
Royal Philosophical Society of Glasgow is based in,Glasgow,Science,0.55309176,Houston,Houston
"Masashi Kishimoto, who is a citizen of",Japan,Arts_and_Entertainment,0.41713688,Australia,Australia
Le Ventre de Paris is written in,French,Arts_and_Entertainment,0.41133517,Ukrainian,Ukrainian
"Windows 2000, developed by",Microsoft,Computers_and_Electronics,0.5961077,Adobe,Adobe
Renault 8 is developed by,Renault,Autos_and_Vehicles,0.65884966,Mercury,Mercury
"BMW N53, created by",BMW,Autos_and_Vehicles,0.69029975,Ferrari,Ferrari
Charles I of Austria worked in the city of,Vienna,Law_and_Government,0.5215492,Ottawa,Ottawa
People's Bank of China is headquartered in,Beijing,Finance,0.4227453,Mecca,Mecca
BMW N57 is a product of,BMW,Autos_and_Vehicles,0.7034863,Triumph,Triumph
iPhone X is created by,Apple,Computers_and_Electronics,0.43248016,Suzuki,Suzuki
"Toyota AR engine, produced by",Toyota,Autos_and_Vehicles,0.594796,Nokia,Nokia
Singapore Heart Foundation is located in,Singapore,Health,0.5716857,Mumbai,Mumbai
"Google Drive, a product manufactured by",Google,Internet_and_Telecom,0.4917101,IBM,IBM
The Wire premieres on,HBO,Arts_and_Entertainment,0.4669482,TNT,TNT
"Mitsubishi A6M Zero, which is located in",Japan,Autos_and_Vehicles,0.3812209,Egypt,Egypt
oil reserves in Kuwait is located in,Kuwait,Business_and_Industrial,0.65928245,Athens,Athens
Antonio Gramsci died in the city of,Rome,News,0.29651487,Dresden,Dresden
Sony Mobile Communications is owned by,Sony,Internet_and_Telecom,0.5846177,BBC,BBC
Jeep Commander is produced by,Jeep,Autos_and_Vehicles,0.61132956,Fiat,Fiat
Xbox 360 is created by,Microsoft,Computers_and_Electronics,0.33191788,Sega,Sega
Toyota Camry XV40 is a product of,Toyota,Autos_and_Vehicles,0.5748323,Fiat,Fiat
James Brokenshire worked in the city of,London,Business_and_Industrial,0.24219033,Madrid,Madrid
"Toyota AZ engine, developed by",Toyota,Autos_and_Vehicles,0.65073884,Chevrolet,Chevrolet
Les Rougon-Macquart was created in the country of,France,Business_and_Industrial,0.3433189,Australia,Australia
"Chevrolet Tru 140S, produced by",Chevrolet,Autos_and_Vehicles,0.5648187,BMW,BMW
"Donkey Kong, developed by",Nintendo,Games,0.41353497,Square,Square
"Giuseppe Ermini, who holds a citizenship from",Italy,Law_and_Government,0.23048875,Poland,Poland
Nissan Be-1 is developed by,Nissan,Autos_and_Vehicles,0.56782675,Honda,Honda
Google Earth was developed by,Google,Online_Communities,0.4687262,Sega,Sega
Volvo 200 series is produced by,Volvo,Autos_and_Vehicles,0.6933875,Fiat,Fiat
"Triumph TR4, produced by",Triumph,Autos_and_Vehicles,0.5795269,Dodge,Dodge
"Windows 2.0, a product manufactured by",Microsoft,Computers_and_Electronics,0.5517993,IBM,IBM
Nilgiris district is located in the country of,India,Travel_and_Transportation,0.24630465,Malaysia,Malaysia
"Nissan Almera Tino, produced by",Nissan,Autos_and_Vehicles,0.563004,Nintendo,Nintendo
IBM Rational Rose XDE is developed by,IBM,Computers_and_Electronics,0.5191505,Google,Google
Saxony-Anhalt is located in the country of,Germany,Business_and_Industrial,0.4177684,Canada,Canada
"Honda NSR75, produced by",Honda,Autos_and_Vehicles,0.6606531,Fiat,Fiat
Heritage Railway Station of Canada ID is located in the country of,Canada,Travel_and_Transportation,0.32110083,Greece,Greece
Toyota AR engine is developed by,Toyota,Autos_and_Vehicles,0.54278123,Samsung,Samsung
Royal Philosophical Society of Glasgow is headquartered in,Glasgow,Science,0.5781437,Houston,Houston
"Community of Madrid's capital,",Madrid,Law_and_Government,0.7002886,Paris,Paris
Game Boy Advance was created by,Nintendo,Games,0.37504566,Adobe,Adobe
"Renault R312, developed by",Renault,Autos_and_Vehicles,0.66889226,Nokia,Nokia
Toyota Camry XV40 is a product of,Toyota,Autos_and_Vehicles,0.5748323,Nissan,Nissan
The official language of Schüpfheim is,German,Jobs_and_Education,0.4157366,Finnish,Finnish
"Fiat 24-32 HP, created by",Fiat,Autos_and_Vehicles,0.6471026,Suzuki,Suzuki
Yahoo! Mail is owned by,Yahoo,Internet_and_Telecom,0.44401944,Sony,Sony
Samsung Galaxy S Duos 3 is produced by,Samsung,Internet_and_Telecom,0.5218283,Sega,Sega
"Peru's capital,",Lima,Travel_and_Transportation,0.637058,Valencia,Valencia
The official language of Fribourg is,French,Jobs_and_Education,0.3772802,Finnish,Finnish
Volvo V50 is a product of,Volvo,Autos_and_Vehicles,0.7121754,BMW,BMW
University of Washington School of Law is located in,Seattle,Jobs_and_Education,0.3143816,Leeds,Leeds
The official language of Saint Pierre and Miquelon is,French,Jobs_and_Education,0.38372687,Romanian,Romanian
Budapest Stock Exchange is headquartered in,Budapest,Finance,0.60349977,Moscow,Moscow
The official language of Ladakh is,Hindi,Jobs_and_Education,0.32940048,Finnish,Finnish
"BMW GINA, developed by",BMW,Autos_and_Vehicles,0.6556841,Porsche,Porsche
"Nissan Rogue, produced by",Nissan,Autos_and_Vehicles,0.6822008,Douglas,Douglas
Fagersta Municipality is located in the country of,Sweden,Jobs_and_Education,0.1962997,Netherlands,Netherlands
"Serdar Kurtuluş, who has a citizenship from",Turkey,Law_and_Government,0.15623248,Denmark,Denmark
The official language of Trinidad and Tobago is,English,Jobs_and_Education,0.32093126,Latin,Latin
PlayStation Eye is produced by,Sony,Computers_and_Electronics,0.49075437,Fiat,Fiat
"Reliance Entertainment, whose headquarters are in",Mumbai,News,0.30491677,London,London
Porsche 959 is developed by,Porsche,Autos_and_Vehicles,0.61429405,Suzuki,Suzuki
"Guru Dutt, a citizen of",India,Arts_and_Entertainment,0.27042675,Canada,Canada
"Honda NSX (second generation), produced by",Honda,Autos_and_Vehicles,0.6301321,Renault,Renault
"Roman Catholic Diocese of Santa Rosa in California, in",California,People_and_Society,0.37782645,Pennsylvania,Pennsylvania
Sony Alpha 550 is created by,Sony,Computers_and_Electronics,0.67258084,Fiat,Fiat
"BMW M30, produced by",BMW,Autos_and_Vehicles,0.737326,Dodge,Dodge
Honda CB650SC is a product of,Honda,Autos_and_Vehicles,0.5785237,Toyota,Toyota
"Nokia X2-02, created by",Nokia,Computers_and_Electronics,0.71798384,Chevrolet,Chevrolet
"Google Earth, a product manufactured by",Google,Online_Communities,0.4883378,Microsoft,Microsoft
"Warsaw Voivodeship's capital city,",Warsaw,People_and_Society,0.737854,Jerusalem,Jerusalem
IBM Rational AppScan was a product of,IBM,Computers_and_Electronics,0.50639236,Apple,Apple
Volvo 480 is a product of,Volvo,Autos_and_Vehicles,0.7213123,BMW,BMW
"Google Earth, a product of",Google,Online_Communities,0.51896423,Intel,Intel
Google Earth is developed by,Google,Online_Communities,0.45972568,Sega,Sega
University of Massachusetts Boston is located in,Boston,Jobs_and_Education,0.58518875,Moscow,Moscow
Sony Alpha 550 is produced by,Sony,Computers_and_Electronics,0.65984225,Fiat,Fiat
"Apple Mouse, created by",Apple,Computers_and_Electronics,0.60174465,IBM,IBM
"Nissan Cima, developed by",Nissan,Autos_and_Vehicles,0.6347591,BMW,BMW
National Historic Sites of Canada ID is located in the country of,Canada,Travel_and_Transportation,0.3900982,India,India
The official language of Canada is,English,Jobs_and_Education,0.3049195,Russian,Russian
Balıkesir Province is located in the country of,Turkey,Jobs_and_Education,0.32784963,Spain,Spain
"Kotono Mitsuishi, who holds a citizenship from",Japan,Arts_and_Entertainment,0.23691186,Russia,Russia
"Adobe Acrobat, created by",Adobe,Computers_and_Electronics,0.68709815,IBM,IBM
"iPod Touch, developed by",Apple,Computers_and_Electronics,0.6032722,Chevrolet,Chevrolet
"Adobe Flash Player, a product developed by",Adobe,Computers_and_Electronics,0.6390867,Microsoft,Microsoft
Nissan NPT-90 is produced by,Nissan,Autos_and_Vehicles,0.5324867,Suzuki,Suzuki
"IBM Unica NetInsight, a product of",IBM,Computers_and_Electronics,0.62304205,Apple,Apple
Intel Core i5 is developed by,Intel,Computers_and_Electronics,0.6330123,Suzuki,Suzuki
Sony is located in the country of,Japan,Computers_and_Electronics,0.41370386,India,India
Nokia 1200 is a product of,Nokia,Computers_and_Electronics,0.7420503,Renault,Renault
The official language of Kingdom of Montenegro is,Serbian,Law_and_Government,0.42419347,Russian,Russian
Nissan Xterra is a product of,Nissan,Autos_and_Vehicles,0.61966586,Ferrari,Ferrari
University of Manitoba is based in,Winnipeg,Jobs_and_Education,0.45862436,Beirut,Beirut
Google Chat is owned by,Google,Online_Communities,0.2886777,Croatia,Google
Nintendo DS is a product of,Nintendo,Computers_and_Electronics,0.67130965,Adobe,Adobe
"Porsche 959, developed by",Porsche,Autos_and_Vehicles,0.7004401,Apple,Apple
"iPhone SE (2nd generation), developed by",Apple,Computers_and_Electronics,0.55008703,Suzuki,Suzuki
Friedrich Meinecke died in the city of,Berlin,Sensitive_Subjects,0.27112296,Kabul,Kabul
"BMW N74, developed by",BMW,Autos_and_Vehicles,0.66951823,Chevrolet,Chevrolet
Windows Server 2000 is a product of,Microsoft,Computers_and_Electronics,0.4920477,Dodge,Dodge
"Honda NS500, developed by",Honda,Autos_and_Vehicles,0.6643598,Airbus,Airbus
Boeing B-52 Stratofortress is created by,Boeing,Business_and_Industrial,0.50812334,IBM,IBM
Ferrari F2012 is developed by,Ferrari,Autos_and_Vehicles,0.6217904,Nokia,Nokia
SegaSoft is owned by,Sega,Computers_and_Electronics,0.6275596,Google,Google
Nissan Livina is produced by,Nissan,Autos_and_Vehicles,0.56988746,Nokia,Nokia
"Toyota AR engine, produced by",Toyota,Autos_and_Vehicles,0.594796,Chrysler,Chrysler
"IBM Rational AppScan, a product manufactured by",IBM,Computers_and_Electronics,0.5097856,Apple,Apple
"Shigeru Miyamoto, a citizen of",Japan,Arts_and_Entertainment,0.2806689,Argentina,Argentina
"Nexus One, a product developed by",Google,Computers_and_Electronics,0.29641765,IBM,IBM
Pythagoras works in the field of,mathematics,Science,0.4717439,history,history
"Chevrolet El Camino (3rd generation), produced by",Chevrolet,Autos_and_Vehicles,0.5879349,Apple,Apple
Aurskog-Høland is located in the country of,Norway,Business_and_Industrial,0.546695,Japan,Japan
Sony Alpha 900 is developed by,Sony,Computers_and_Electronics,0.6297857,Dodge,Dodge
Volvo 740 is produced by,Volvo,Autos_and_Vehicles,0.6604481,Toyota,Toyota
Ringo Starr plays the,guitar,Arts_and_Entertainment,0.1718016,trumpet,trumpet
Samsung Galaxy Tab 2 7.0 was developed by,Samsung,Computers_and_Electronics,0.41594657,Google,Google
"Adobe Bridge, created by",Adobe,Computers_and_Electronics,0.6179948,Apple,Apple
"Chevrolet Camaro ZL1 (fifth generation), developed by",Chevrolet,Autos_and_Vehicles,0.5698023,Toyota,Toyota
Dublin Institute of Technology is headquartered in,Dublin,Jobs_and_Education,0.65683573,Moscow,Moscow
"Airbus A340, produced by",Airbus,Autos_and_Vehicles,0.72905326,Dodge,Dodge
McLaren MP4-21 is developed by,McLaren,Autos_and_Vehicles,0.5922507,Nissan,Nissan
Boeing Vertol CH-47 Chinook is developed by,Boeing,Autos_and_Vehicles,0.44285583,Apple,Apple
Honda Passport is produced by,Honda,Autos_and_Vehicles,0.5716668,Microsoft,Microsoft
"Windows 3.1, a product manufactured by",Microsoft,Computers_and_Electronics,0.5492462,Adobe,Adobe
Le Ventre de Paris is written in,French,Arts_and_Entertainment,0.41133517,Spanish,Spanish
"Cadillac ATS, produced by",Cadillac,Autos_and_Vehicles,0.71834105,BMW,BMW
The official language of Kingdom of Portugal is,Portuguese,Law_and_Government,0.5764715,English,Portuguese
What sport does Babe Ruth play? They play,baseball,Sports,0.5911001,soccer,baseball
"Senkichi Taniguchi, who is a citizen of",Japan,People_and_Society,0.3057781,Austria,Austria
"Nintendo DS Lite, produced by",Nintendo,Computers_and_Electronics,0.60108554,Toyota,Toyota
AKA The Octopus premieres on,Netflix,Arts_and_Entertainment,0.3654092,CBS,CBS
O2 Czech Republic is headquartered in,Prague,Business_and_Industrial,0.5047209,Norwich,Norwich
"Nissan Titan, created by",Nissan,Autos_and_Vehicles,0.66096586,Renault,Renault
Honda NSX (second generation) is developed by,Honda,Autos_and_Vehicles,0.5216799,Dodge,Dodge
"BMW M67, produced by",BMW,Autos_and_Vehicles,0.69450736,Fiat,Fiat
"Germany's capital city,",Berlin,Jobs_and_Education,0.6465771,Paris,Paris
"IBM OfficeVision, a product created by",IBM,Computers_and_Electronics,0.65278995,Apple,Apple
"Windows Me, a product created by",Microsoft,Computers_and_Electronics,0.60776615,Google,Google
"Fiat 10 HP, developed by",Fiat,Autos_and_Vehicles,0.66390485,BMW,BMW
Nokia 6600 slide is produced by,Nokia,Computers_and_Electronics,0.58280116,BMW,BMW
Boeing B-52 Stratofortress is a product of,Boeing,Business_and_Industrial,0.5486373,Adobe,Adobe
"Chevrolet Series H, produced by",Chevrolet,Autos_and_Vehicles,0.6645304,Honda,Honda
"Amartya Sen, who has a citizenship from",India,News,0.28394154,Nigeria,Nigeria
Ferrari F310 is developed by,Ferrari,Autos_and_Vehicles,0.62979376,Nissan,Nissan
"iPhone 8 Plus, developed by",Apple,Computers_and_Electronics,0.4931656,Honda,Honda
Honda CB1100R is produced by,Honda,Autos_and_Vehicles,0.5653026,Fiat,Fiat
Honda VT600C is produced by,Honda,Autos_and_Vehicles,0.5252038,Apple,Apple
"Norwegian Consumer Council, whose headquarters are in",Oslo,Business_and_Industrial,0.49099606,Paris,Paris
Toyota Camry XV40 is a product of,Toyota,Autos_and_Vehicles,0.5748323,Ferrari,Ferrari
Towa Oshima was born in,Tokyo,People_and_Society,0.23570937,London,London
"Dragon Ball, that was created in",Japan,Games,0.21910255,Philippines,Philippines
"Windows 2.0, a product developed by",Microsoft,Computers_and_Electronics,0.587639,Atari,Atari
"Windows NT, a product manufactured by",Microsoft,Computers_and_Electronics,0.61471695,IBM,IBM
BMW M67 is created by,BMW,Autos_and_Vehicles,0.6451342,Nissan,Nissan
Dodge Charger is produced by,Dodge,Autos_and_Vehicles,0.56284875,Apple,Apple
"Frederick VII of Denmark, a citizen of",Denmark,News,0.58115983,Belgium,Belgium
Chevrolet Constantia is produced by,Chevrolet,Autos_and_Vehicles,0.58294654,BMW,BMW
"Nintendo GameCube, created by",Nintendo,Computers_and_Electronics,0.6369158,Cadillac,Cadillac
National Institute of Occupational Health in Norway is based in,Oslo,Health,0.44059777,Winnipeg,Winnipeg
Gmail was developed by,Google,Internet_and_Telecom,0.38708127,Microsoft,Microsoft
Nicolaus Copernicus works in the field of,mathematics,Science,0.20558016,hunting,hunting
The official language of India is,English,Jobs_and_Education,0.36136568,Finnish,Finnish
"Dodge Ram SRT-10, developed by",Dodge,Autos_and_Vehicles,0.53022754,BMW,BMW
"Ferrari F2012, developed by",Ferrari,Autos_and_Vehicles,0.702876,Sony,Sony
Home Office is headquartered in,London,Business_and_Industrial,0.21299735,Warsaw,London
"Matsuo Bashō, who holds a citizenship from",Japan,Law_and_Government,0.25224298,Brazil,Brazil
"Cadillac XLR, produced by",Cadillac,Autos_and_Vehicles,0.6650851,Renault,Renault
Seattle Medium is based in,Seattle,Business_and_Industrial,0.6557355,Stockholm,Seattle
Fiat 1900 is produced by,Fiat,Autos_and_Vehicles,0.71502304,BMW,BMW
Fiat Croma is developed by,Fiat,Autos_and_Vehicles,0.6060232,Toyota,Toyota
Sony Reader is produced by,Sony,Computers_and_Electronics,0.67741835,Nissan,Nissan
"Boeing Defense, Space & Security is owned by",Boeing,Business_and_Industrial,0.5930555,Nintendo,Nintendo
"Lata Mangeshkar, a citizen of",India,Arts_and_Entertainment,0.30153248,England,England
National Institute of Occupational Health in Norway is headquartered in,Oslo,Health,0.45489484,Budapest,Budapest
Chevrolet Tru 140S is developed by,Chevrolet,Autos_and_Vehicles,0.49397925,Suzuki,Suzuki
Toyota Camry TS-01 is a product of,Toyota,Autos_and_Vehicles,0.61473465,Nintendo,Nintendo
"Boeing B-29 Superfortress, a product of",Boeing,Business_and_Industrial,0.56237394,IBM,IBM
Yahoo! News is owned by,Yahoo,News,0.4497928,Indonesia,Indonesia
Takeaki Momose was originally from,Japan,Arts_and_Entertainment,0.1976948,Cardiff,Cardiff
BMW M60 is developed by,BMW,Autos_and_Vehicles,0.5907718,Cadillac,Cadillac
Google Pixelbook is a product of,Google,Computers_and_Electronics,0.37843096,Chevrolet,Chevrolet
"Android, developed by",Google,Computers_and_Electronics,0.424155,Boeing,Boeing
"Microsoft Office 2007, developed by",Microsoft,Computers_and_Electronics,0.6605841,Google,Google
iPhone XS Max is produced by,Apple,Computers_and_Electronics,0.4351172,Sony,Sony
IBM Home Page Reader was a product of,IBM,Computers_and_Electronics,0.6185913,Sega,Sega
"Boeing 737, created by",Boeing,Autos_and_Vehicles,0.64903927,Triumph,Triumph
"Windows 3.0, a product manufactured by",Microsoft,Computers_and_Electronics,0.55216396,Intel,Intel
"Honda VT600C, created by",Honda,Autos_and_Vehicles,0.5882579,Nissan,Nissan
"iPhone 11 Pro Max, created by",Apple,Computers_and_Electronics,0.41143644,Ferrari,Ferrari
